task_id,status,attempts,final_level,provider,model,prompt_tokens,completion_tokens,total_tokens,trace
moving-stones-until-consecutive-ii_python3,repair_fail,1,CDS,local_qwen,local_qwen,1495,2048,3543,semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
largest-number-after-mutating-substring_python3,repair_fail,1,CDS,local_qwen,local_qwen,599,2048,2647,semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
nim-game_python3,repair_fail,1,CDS,local_qwen,local_qwen,359,1915,2274,semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:ModuleNotFoundError -> max_context_reached
find-all-possible-recipes-from-given-supplies_python3,repair_fail,1,CDS,local_qwen,local_qwen,860,2048,2908,semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
sequential-digits_python3,repair_success,1,CDS,local_qwen,local_qwen,387,2048,2435,semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_success
check-if-string-is-transformable-with-substring-sort-operations_python3,repair_fail,1,CDS,local_qwen,local_qwen,617,2048,2665,semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
increasing-order-search-tree_python3,repair_fail,1,CDS,local_qwen,local_qwen,403,2048,2451,semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
check-if-one-string-swap-can-make-strings-equal_python3,repair_fail,1,CDS,local_qwen,local_qwen,472,2048,2520,semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
disconnect-path-in-a-binary-matrix-by-at-most-one-flip_python3,repair_fail,1,CDS,local_qwen,local_qwen,728,2048,2776,semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
smallest-string-starting-from-leaf_python3,repair_fail,1,CDS,local_qwen,local_qwen,450,2048,2498,semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> max_context_reached
